,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
0,11809,27,3.0,115.02731,,10.0,4,10.0,2014,0.07542368,B,B,11,3097,0,,0,0,B,305018.88
1,3013,22,1.0,39.832523,23.169222,8.0,7,8.0,1966,0.11853738,B,B,30,6207,1,1183.0,1,0,B,177734.55
2,8215,1,3.0,78.34222,47.67197,10.0,2,17.0,1988,0.025609156,B,B,33,5261,0,240.0,3,1,B,282078.72
3,2352,1,1.0,40.40991,,1.0,10,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B,168106.0
4,13866,94,2.0,64.285065,38.562515,9.0,16,16.0,1972,0.28279766,B,B,33,8667,2,,0,6,B,343995.1
5,5804,99,3.0,62.528465,47.103832,6.0,9,9.0,1972,0.012338886,B,B,35,5776,1,2078.0,2,4,B,161044.94
6,8864,44,1.0,33.93875,21.77293,9.0,1,12.0,1968,0.23220508,B,B,24,4860,1,80.0,0,3,B,142402.73
7,13072,59,2.0,50.391815,32.893257,8.0,8,17.0,1986,0.019508796,B,B,37,7687,11,176.0,5,5,B,326174.2
8,9951,1,1.0,46.887894,44.62813,1.0,12,20.0,1977,0.007122317,B,B,1,264,0,,0,1,B,160400.4
9,8094,6,3.0,79.86748,75.08513,1.0,3,17.0,2014,0.24320452,B,B,5,1564,0,540.0,0,0,B,194756.03
10,535,2,3.0,74.19905,44.73589,10.0,5,14.0,2008,0.035145268,B,B,42,9292,3,2620.0,0,3,B,512797.38
11,16755,88,2.0,53.975143,34.153584,8.0,2,12.0,1978,0.1273759,B,B,43,8429,3,,3,9,B,253124.0
12,898,93,1.0,47.56444,23.574423,13.0,9,24.0,2012,0.050900057,B,B,43,10621,1,30.0,2,3,B,199556.86
13,3526,90,2.0,43.871025,26.114386,5.0,5,9.0,1969,0.26508868,B,B,37,5288,0,1937.0,3,2,B,213001.52
14,191,36,3.0,81.99479,43.688797,10.0,2,22.0,2008,0.08761909,B,B,8,1497,5,,1,0,B,481360.38
15,4328,96,1.0,36.67341,16.285522,9.0,3,12.0,2003,0.041116353,B,B,53,14892,4,,1,4,B,168143.34
16,11942,48,1.0,44.82525,24.240046,8.0,7,12.0,1981,0.041124634,B,B,46,9515,5,,1,10,B,207633.66
17,1190,8,2.0,49.396,28.2996,5.0,6,5.0,1962,0.4581745,B,A,26,4439,1,1130.0,1,5,B,186971.92
18,4581,1,1.0,47.58248,,1.0,16,16.0,1977,0.007122317,B,B,1,264,0,,0,1,B,128803.59
19,367,45,1.0,42.36729,40.012527,1.0,16,14.0,2015,0.19578105,B,B,23,5212,6,,3,2,B,250466.98
20,8768,63,1.0,50.97489,,1.0,7,16.0,2018,0.23861714,B,B,26,3889,6,705.0,3,6,B,260328.4
21,8471,20,3.0,75.61106,47.49462,8.0,11,9.0,1976,0.019508796,B,B,37,7687,11,176.0,5,5,B,366916.25
22,1550,7,3.0,86.32636,46.09724,10.0,3,17.0,1986,0.0,B,B,23,5067,4,,2,6,B,421803.75
23,13427,103,1.0,38.174328,23.123014,9.0,6,12.0,1969,0.014423114,B,B,19,3806,4,,0,3,B,194273.05
24,4717,27,1.0,44.203945,,0.0,2,0.0,1977,0.072157584,B,B,2,629,1,,0,0,A,135466.56
25,4521,6,2.0,65.409966,,1.0,18,1.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,191205.27
26,8553,88,3.0,83.26253,4.7691746,1.0,13,1.0,1977,0.1273759,B,B,43,8429,3,,3,9,B,410883.9
27,1403,67,2.0,52.966915,33.793335,8.0,13,14.0,1985,0.007720282,B,B,38,4788,2,,0,4,B,235998.2
28,1924,24,1.0,34.12706,19.435738,6.0,5,5.0,1960,0.11162739,B,B,50,12238,8,1970.0,2,3,B,173155.77
29,5273,23,2.0,53.19965,32.459053,9.0,3,3.0,2019,0.005767451,B,B,1,388,0,,0,0,B,94061.945
30,5931,23,1.0,43.033398,,1.0,3,4.0,1977,0.014072961,B,B,2,475,0,,0,0,B,72659.97
31,13084,38,1.0,47.83763,22.297739,1.0,21,24.0,2014,0.060753047,B,B,15,2787,2,520.0,0,7,B,233717.3
32,3876,100,4.0,104.76902,79.31665,8.0,4,8.0,1960,0.20014681,B,B,23,3975,8,770.0,2,0,B,600903.8
33,847,74,2.0,73.31497,74.13126,1.0,7,6.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,254005.38
34,7757,27,2.0,58.78366,55.441257,11.0,13,12.0,1977,0.011654127,B,B,4,915,0,,0,0,B,138396.98
35,3961,23,2.0,65.832954,,1.0,11,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,193398.61
36,57,35,2.0,46.760178,29.829147,6.0,4,9.0,1974,0.08903972,B,B,33,7976,5,,0,11,B,203384.33
37,1699,9,1.0,78.936165,76.74665,1.0,8,7.0,1977,0.16153175,B,B,25,5648,1,30.0,2,4,B,226206.97
38,7679,23,2.0,55.521797,,0.0,3,4.0,1977,0.03465608,B,B,0,168,0,,0,0,B,93217.75
39,3736,167,2.0,56.712772,36.454063,7.0,6,5.0,1956,0.050272014,B,B,21,4231,14,1020.0,0,3,B,299177.5
40,10954,119,1.0,32.994995,17.717022,5.0,4,5.0,1963,0.03349371,B,B,66,10573,1,1322.0,3,8,B,158611.39
41,7161,129,3.0,80.91644,52.861786,8.0,2,5.0,1961,0.020741327,B,B,24,5613,5,1340.0,2,5,B,308656.4
42,8576,4,2.0,53.17979,50.643795,5.0,5,12.0,1976,0.042031586,B,B,37,6856,84,1940.0,2,5,B,308108.22
43,3486,62,1.0,33.071808,22.237242,6.0,2,9.0,1979,0.03717782,B,B,52,11217,1,2300.0,1,7,B,154480.97
44,9024,6,3.0,79.790764,,1.0,16,1.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,193595.8
45,8007,173,2.0,44.57722,31.5337,5.0,3,5.0,1969,0.08194346,B,B,20,2738,20,,1,4,B,301309.75
46,6728,37,4.0,99.15406,66.56719,9.0,18,22.0,1985,0.1278116,B,B,28,7287,5,320.0,1,3,B,362108.44
47,6186,1,1.0,62.006077,,1.0,7,1.0,1977,0.007122317,B,B,1,264,0,,0,1,B,197006.12
48,12307,60,1.0,40.064915,38.733288,8.0,13,14.0,1974,0.007658515,B,B,35,7077,56,2301.0,3,19,B,160810.55
